location,year,month,day,hour,minute,weeend,orderSize,orderItems,pendingOrders,pendingOrdersSize,pendingOrderItems,bumpTime
3,2022,11,8,23,20,0,40,4,8,196,40,24
3,2022,11,8,23,20,0,41,5,9,204,41,25
3,2022,11,8,23,20,0,38,4,8,189,38,23
3,2022,11,8,23,20,0,42,5,9,210,42,26
2,2022,11,8,23,20,0,22,3,5,109,22,13
1,2022,11,8,23,20,0,12,2,3,60,12,8
1,2022,11,8,23,20,0,10,1,2,49,10,6
3,2022,11,8,23,20,0,36,4,8,179,36,22
2,2022,11,8,23,20,0,29,3,6,141,29,17
3,2022,11,8,23,20,0,35,4,7,173,35,21
3,2022,11,8,23,20,0,48,5,10,237,48,29
3,2022,11,8,23,20,0,35,4,7,175,35,21
3,2022,11,8,23,20,0,48,5,10,240,48,29
3,2022,11,8,23,20,0,37,4,8,181,37,22
2,2022,11,8,23,20,0,30,3,6,146,30,18
1,2022,11,8,23,20,0,1,1,1,5,1,1
2,2022,11,8,23,20,0,29,3,6,144,29,18
3,2022,11,8,23,20,0,40,4,8,196,40,24
2,2022,11,8,23,20,0,28,3,6,138,28,17
1,2022,11,8,23,20,0,4,1,1,17,4,2
1,2022,11,8,23,20,0,8,1,2,40,8,5
1,2022,11,8,23,20,0,7,1,2,33,7,4
3,2022,11,8,23,20,0,45,5,9,222,45,27
1,2022,11,8,23,20,0,11,2,3,53,11,7
2,2022,11,8,23,20,0,17,2,4,85,17,11
2,2022,11,8,23,20,0,33,4,7,164,33,20
3,2022,11,8,23,20,0,50,5,10,246,50,30
3,2022,11,8,23,20,0,45,5,9,223,45,27
2,2022,11,8,23,20,0,22,3,5,106,22,13
1,2022,11,8,23,20,0,17,2,4,83,17,10
2,2022,11,8,23,20,0,17,2,4,84,17,11
3,2022,11,8,23,20,0,45,5,9,221,45,27
3,2022,11,8,23,20,0,50,5,10,248,50,30
2,2022,11,8,23,20,0,21,3,5,102,21,13
1,2022,11,8,23,20,0,13,2,3,63,13,8
1,2022,11,8,23,20,0,13,2,3,64,13,8
1,2022,11,8,23,20,0,13,2,3,63,13,8
3,2022,11,8,23,20,0,38,4,8,186,38,23
1,2022,11,8,23,20,0,10,1,2,50,10,6
1,2022,11,8,23,20,0,11,2,3,53,11,7
3,2022,11,8,23,20,0,40,4,8,199,40,24
1,2022,11,8,23,20,0,7,1,2,31,7,4
2,2022,11,8,23,20,0,27,3,6,133,27,16
1,2022,11,8,23,20,0,2,1,1,9,2,1
1,2022,11,8,23,20,0,17,2,4,83,17,10
2,2022,11,8,23,20,0,18,2,4,89,18,11
2,2022,11,8,23,20,0,29,3,6,141,29,17
